district_number,district_name,station_number,station_name,last_name,first_name,party_name,votes
48001,Banff--Airdrie,17,Cochrane,Raynolds,Marlo,Liberal,77
48001,Banff--Airdrie,17,Cochrane,Richards,Blake,Conservative,193
48001,Banff--Airdrie,18,Cochrane,Boissonneault,Joanne,NDP,16
48001,Banff--Airdrie,18,Cochrane,MacDonald,Mike,Green Party,5
48001,Banff--Airdrie,18,Cochrane,Raynolds,Marlo,Liberal,79
48001,Banff--Airdrie,18,Cochrane,Richards,Blake,Conservative,202
48001,Banff--Airdrie,19,Cochrane,Boissonneault,Joanne,NDP,6
48001,Banff--Airdrie,19,Cochrane,MacDonald,Mike,Green Party,7
48001,Banff--Airdrie,19,Cochrane,Raynolds,Marlo,Liberal,51
48001,Banff--Airdrie,19,Cochrane,Richards,Blake,Conservative,298
48001,Banff--Airdrie,20,Cochrane,Boissonneault,Joanne,NDP,22
48001,Banff--Airdrie,20,Cochrane,MacDonald,Mike,Green Party,8
48001,Banff--Airdrie,20,Cochrane,Raynolds,Marlo,Liberal,94
48001,Banff--Airdrie,20,Cochrane,Richards,Blake,Conservative,197
48001,Banff--Airdrie, 21A,Cochrane,Boissonneault,Joanne,NDP,8
48001,Banff--Airdrie, 21A,Cochrane,MacDonald,Mike,Green Party,9
48001,Banff--Airdrie, 21A,Cochrane,Raynolds,Marlo,Liberal,35
48001,Banff--Airdrie, 21A,Cochrane,Richards,Blake,Conservative,149
48001,Banff--Airdrie, 21B,Cochrane,Boissonneault,Joanne,NDP,4
48001,Banff--Airdrie, 21B,Cochrane,MacDonald,Mike,Green Party,4
48001,Banff--Airdrie, 21B,Cochrane,Raynolds,Marlo,Liberal,42
48001,Banff--Airdrie, 21B,Cochrane,Richards,Blake,Conservative,162
48001,Banff--Airdrie,22,Cochrane,Boissonneault,Joanne,NDP,7
48001,Banff--Airdrie,22,Cochrane,MacDonald,Mike,Green Party,7
48001,Banff--Airdrie,22,Cochrane,Raynolds,Marlo,Liberal,84
48001,Banff--Airdrie,22,Cochrane,Richards,Blake,Conservative,123
48001,Banff--Airdrie,23,Cochrane,Boissonneault,Joanne,NDP,0
48001,Banff--Airdrie,23,Cochrane,MacDonald,Mike,Green Party,0
48001,Banff--Airdrie,23,Cochrane,Raynolds,Marlo,Liberal,0
48001,Banff--Airdrie,23,Cochrane,Richards,Blake,Conservative,0
48001,Banff--Airdrie,24,Cochrane,Boissonneault,Joanne,NDP,25
48001,Banff--Airdrie,24,Cochrane,MacDonald,Mike,Green Party,13
48001,Banff--Airdrie,24,Cochrane,Raynolds,Marlo,Liberal,42
48001,Banff--Airdrie,24,Cochrane,Richards,Blake,Conservative,150
48001,Banff--Airdrie, 25A,Cochrane,Boissonneault,Joanne,NDP,8
48001,Banff--Airdrie, 25A,Cochrane,MacDonald,Mike,Green Party,7
48001,Banff--Airdrie, 25A,Cochrane,Raynolds,Marlo,Liberal,34
48001,Banff--Airdrie, 25A,Cochrane,Richards,Blake,Conservative,114
48001,Banff--Airdrie, 25B,Cochrane,Boissonneault,Joanne,NDP,16
48001,Banff--Airdrie, 25B,Cochrane,MacDonald,Mike,Green Party,10
48001,Banff--Airdrie, 25B,Cochrane,Raynolds,Marlo,Liberal,44
48001,Banff--Airdrie, 25B,Cochrane,Richards,Blake,Conservative,100
48001,Banff--Airdrie,26,Cochrane,Boissonneault,Joanne,NDP,19
48001,Banff--Airdrie,26,Cochrane,MacDonald,Mike,Green Party,10
48001,Banff--Airdrie,26,Cochrane,Raynolds,Marlo,Liberal,44
48001,Banff--Airdrie,26,Cochrane,Richards,Blake,Conservative,202
48001,Banff--Airdrie,27,Cochrane,Boissonneault,Joanne,NDP,18
