district_number,district_name,station_number,station_name,last_name,first_name,party_name,votes
47001,Battlefords--Lloydminster,12,Glaslyn,Tait,Glenn,NDP-New Democratic Party,12
47001,Battlefords--Lloydminster,12,Glaslyn,Tenkink,Mikaela,Green Party,0
47001,Battlefords--Lloydminster,13,Glaslyn,Anguish,Doug,Independent,9
47001,Battlefords--Lloydminster,13,Glaslyn,Ingram,Larry,Liberal,26
47001,Battlefords--Lloydminster,13,Glaslyn,Ritz,Gerry,Conservative,155
47001,Battlefords--Lloydminster,13,Glaslyn,Tait,Glenn,NDP-New Democratic Party,20
47001,Battlefords--Lloydminster,13,Glaslyn,Tenkink,Mikaela,Green Party,4
47001,Battlefords--Lloydminster,14,Mervin,Anguish,Doug,Independent,9
47001,Battlefords--Lloydminster,14,Mervin,Ingram,Larry,Liberal,49
47001,Battlefords--Lloydminster,14,Mervin,Ritz,Gerry,Conservative,415
47001,Battlefords--Lloydminster,14,Mervin,Tait,Glenn,NDP-New Democratic Party,41
47001,Battlefords--Lloydminster,14,Mervin,Tenkink,Mikaela,Green Party,15
47001,Battlefords--Lloydminster,15,Paynton,Anguish,Doug,Independent,5
47001,Battlefords--Lloydminster,15,Paynton,Ingram,Larry,Liberal,40
47001,Battlefords--Lloydminster,15,Paynton,Ritz,Gerry,Conservative,108
47001,Battlefords--Lloydminster,15,Paynton,Tait,Glenn,NDP-New Democratic Party,34
47001,Battlefords--Lloydminster,15,Paynton,Tenkink,Mikaela,Green Party,5
47001,Battlefords--Lloydminster,16,Northminster,Anguish,Doug,Independent,2
47001,Battlefords--Lloydminster,16,Northminster,Ingram,Larry,Liberal,8
47001,Battlefords--Lloydminster,16,Northminster,Ritz,Gerry,Conservative,176
47001,Battlefords--Lloydminster,16,Northminster,Tait,Glenn,NDP-New Democratic Party,7
47001,Battlefords--Lloydminster,16,Northminster,Tenkink,Mikaela,Green Party,2
47001,Battlefords--Lloydminster,17,Lloydminster,Anguish,Doug,Independent,4
47001,Battlefords--Lloydminster,17,Lloydminster,Ingram,Larry,Liberal,13
47001,Battlefords--Lloydminster,17,Lloydminster,Ritz,Gerry,Conservative,163
47001,Battlefords--Lloydminster,17,Lloydminster,Tait,Glenn,NDP-New Democratic Party,17
47001,Battlefords--Lloydminster,17,Lloydminster,Tenkink,Mikaela,Green Party,2
47001,Battlefords--Lloydminster,18,Lloydminster,Anguish,Doug,Independent,4
47001,Battlefords--Lloydminster,18,Lloydminster,Ingram,Larry,Liberal,23
47001,Battlefords--Lloydminster,18,Lloydminster,Ritz,Gerry,Conservative,154
47001,Battlefords--Lloydminster,18,Lloydminster,Tait,Glenn,NDP-New Democratic Party,25
47001,Battlefords--Lloydminster,18,Lloydminster,Tenkink,Mikaela,Green Party,7
47001,Battlefords--Lloydminster,19,Lloydminster (Part),Anguish,Doug,Independent,4
47001,Battlefords--Lloydminster,19,Lloydminster (Part),Ingram,Larry,Liberal,29
47001,Battlefords--Lloydminster,19,Lloydminster (Part),Ritz,Gerry,Conservative,165
47001,Battlefords--Lloydminster,19,Lloydminster (Part),Tait,Glenn,NDP-New Democratic Party,13
47001,Battlefords--Lloydminster,19,Lloydminster (Part),Tenkink,Mikaela,Green Party,1
47001,Battlefords--Lloydminster,20,Lloydminster (Part),Anguish,Doug,Independent,2
47001,Battlefords--Lloydminster,20,Lloydminster (Part),Ingram,Larry,Liberal,39
47001,Battlefords--Lloydminster,20,Lloydminster (Part),Ritz,Gerry,Conservative,128
47001,Battlefords--Lloydminster,20,Lloydminster (Part),Tait,Glenn,NDP-New Democratic Party,13
47001,Battlefords--Lloydminster,20,Lloydminster (Part),Tenkink,Mikaela,Green Party,10
47001,Battlefords--Lloydminster,21,Lloydminster (Part),Anguish,Doug,Independent,1
47001,Battlefords--Lloydminster,21,Lloydminster (Part),Ingram,Larry,Liberal,32
47001,Battlefords--Lloydminster,21,Lloydminster (Part),Ritz,Gerry,Conservative,108
47001,Battlefords--Lloydminster,21,Lloydminster (Part),Tait,Glenn,NDP-New Democratic Party,30
47001,Battlefords--Lloydminster,21,Lloydminster (Part),Tenkink,Mikaela,Green Party,6
47001,Battlefords--Lloydminster,22,Lloydminster (Part),Anguish,Doug,Independent,2
47001,Battlefords--Lloydminster,22,Lloydminster (Part),Ingram,Larry,Liberal,30
47001,Battlefords--Lloydminster,22,Lloydminster (Part),Ritz,Gerry,Conservative,117
47001,Battlefords--Lloydminster,22,Lloydminster (Part),Tait,Glenn,NDP-New Democratic Party,12
47001,Battlefords--Lloydminster,22,Lloydminster (Part),Tenkink,Mikaela,Green Party,5
47001,Battlefords--Lloydminster,23,Lloydminster (Part),Anguish,Doug,Independent,1
47001,Battlefords--Lloydminster,23,Lloydminster (Part),Ingram,Larry,Liberal,28
47001,Battlefords--Lloydminster,23,Lloydminster (Part),Ritz,Gerry,Conservative,155
47001,Battlefords--Lloydminster,23,Lloydminster (Part),Tait,Glenn,NDP-New Democratic Party,17
47001,Battlefords--Lloydminster,23,Lloydminster (Part),Tenkink,Mikaela,Green Party,0
47001,Battlefords--Lloydminster,24,Lloydminster (Part),Anguish,Doug,Independent,0
47001,Battlefords--Lloydminster,24,Lloydminster (Part),Ingram,Larry,Liberal,28
47001,Battlefords--Lloydminster,24,Lloydminster (Part),Ritz,Gerry,Conservative,124
47001,Battlefords--Lloydminster,24,Lloydminster (Part),Tait,Glenn,NDP-New Democratic Party,11
47001,Battlefords--Lloydminster,24,Lloydminster (Part),Tenkink,Mikaela,Green Party,1
47001,Battlefords--Lloydminster,25,Lloydminster (Part),Anguish,Doug,Independent,2
47001,Battlefords--Lloydminster,25,Lloydminster (Part),Ingram,Larry,Liberal,43
47001,Battlefords--Lloydminster,25,Lloydminster (Part),Ritz,Gerry,Conservative,203
47001,Battlefords--Lloydminster,25,Lloydminster (Part),Tait,Glenn,NDP-New Democratic Party,11
47001,Battlefords--Lloydminster,25,Lloydminster (Part),Tenkink,Mikaela,Green Party,6
47001,Battlefords--Lloydminster,26,Lloydminster (Part),Anguish,Doug,Independent,2
47001,Battlefords--Lloydminster,26,Lloydminster (Part),Ingram,Larry,Liberal,33
47001,Battlefords--Lloydminster,26,Lloydminster (Part),Ritz,Gerry,Conservative,173
47001,Battlefords--Lloydminster,26,Lloydminster (Part),Tait,Glenn,NDP-New Democratic Party,13
47001,Battlefords--Lloydminster,26,Lloydminster (Part),Tenkink,Mikaela,Green Party,8
47001,Battlefords--Lloydminster,27,Lloydminster (Part),Anguish,Doug,Independent,2
47001,Battlefords--Lloydminster,27,Lloydminster (Part),Ingram,Larry,Liberal,66
47001,Battlefords--Lloydminster,27,Lloydminster (Part),Ritz,Gerry,Conservative,293
47001,Battlefords--Lloydminster,27,Lloydminster (Part),Tait,Glenn,NDP-New Democratic Party,21
47001,Battlefords--Lloydminster,27,Lloydminster (Part),Tenkink,Mikaela,Green Party,5
47001,Battlefords--Lloydminster,28,Lloydminster (Part),Anguish,Doug,Independent,1
47001,Battlefords--Lloydminster,28,Lloydminster (Part),Ingram,Larry,Liberal,24
47001,Battlefords--Lloydminster,28,Lloydminster (Part),Ritz,Gerry,Conservative,93
47001,Battlefords--Lloydminster,28,Lloydminster (Part),Tait,Glenn,NDP-New Democratic Party,33
47001,Battlefords--Lloydminster,28,Lloydminster (Part),Tenkink,Mikaela,Green Party,4
47001,Battlefords--Lloydminster,29,Lloydminster (Part),Anguish,Doug,Independent,4
47001,Battlefords--Lloydminster,29,Lloydminster (Part),Ingram,Larry,Liberal,84
47001,Battlefords--Lloydminster,29,Lloydminster (Part),Ritz,Gerry,Conservative,258
47001,Battlefords--Lloydminster,29,Lloydminster (Part),Tait,Glenn,NDP-New Democratic Party,30
