district_number,district_name,station_number,station_name,last_name,first_name,party_name,votes
46001,Brandon--Souris,15,Oak Lake Beach,Wastasecoot,Melissa Joy,NDP-New Democratic Party,9
46001,Brandon--Souris,15,Oak Lake Beach,Wyman,Jodi,Liberal,57
46001,Brandon--Souris,16,Oak Lake Beach,Maguire,Larry,Conservative,18
46001,Brandon--Souris,16,Oak Lake Beach,Neufeld,David,Green Party,3
46001,Brandon--Souris,16,Oak Lake Beach,Wastasecoot,Melissa Joy,NDP-New Democratic Party,1
46001,Brandon--Souris,16,Oak Lake Beach,Wyman,Jodi,Liberal,11
46001,Brandon--Souris,17,Alexander,Maguire,Larry,Conservative,151
46001,Brandon--Souris,17,Alexander,Neufeld,David,Green Party,13
46001,Brandon--Souris,17,Alexander,Wastasecoot,Melissa Joy,NDP-New Democratic Party,16
46001,Brandon--Souris,17,Alexander,Wyman,Jodi,Liberal,108
46001,Brandon--Souris,18,Kemnay,Maguire,Larry,Conservative,137
46001,Brandon--Souris,18,Kemnay,Neufeld,David,Green Party,8
46001,Brandon--Souris,18,Kemnay,Wastasecoot,Melissa Joy,NDP-New Democratic Party,14
46001,Brandon--Souris,18,Kemnay,Wyman,Jodi,Liberal,85
46001,Brandon--Souris,19,Brandon,Maguire,Larry,Conservative,106
46001,Brandon--Souris,19,Brandon,Neufeld,David,Green Party,13
46001,Brandon--Souris,19,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,17
46001,Brandon--Souris,19,Brandon,Wyman,Jodi,Liberal,108
46001,Brandon--Souris, 20A,Brandon,Maguire,Larry,Conservative,92
46001,Brandon--Souris, 20A,Brandon,Neufeld,David,Green Party,6
46001,Brandon--Souris, 20A,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,7
46001,Brandon--Souris, 20A,Brandon,Wyman,Jodi,Liberal,82
46001,Brandon--Souris, 20B,Brandon,Maguire,Larry,Conservative,68
46001,Brandon--Souris, 20B,Brandon,Neufeld,David,Green Party,5
46001,Brandon--Souris, 20B,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,7
46001,Brandon--Souris, 20B,Brandon,Wyman,Jodi,Liberal,64
46001,Brandon--Souris, 21A,Brandon,Maguire,Larry,Conservative,121
46001,Brandon--Souris, 21A,Brandon,Neufeld,David,Green Party,3
46001,Brandon--Souris, 21A,Brandon,Wastasecoot,Melissa Joy,NDP-New Democratic Party,4
46001,Brandon--Souris, 21A,Brandon,Wyman,Jodi,Liberal,76
