district_number,district_name,station_number,station_name,last_name,first_name,party_name,votes
59001,Abbotsford,16,Abbotsford,Fast,Ed,Conservative,94
59001,Abbotsford,16,Abbotsford,Fowler,Stephen,Green Party,5
59001,Abbotsford,16,Abbotsford,MacKay,David,Marxist-Leninist,1
59001,Abbotsford,16,Abbotsford,Martel,Jen,NDP-New Democratic Party,53
59001,Abbotsford,16,Abbotsford,Njenga,Peter,Liberal,116
59001,Abbotsford,17,Abbotsford,Fast,Ed,Conservative,135
59001,Abbotsford,17,Abbotsford,Fowler,Stephen,Green Party,17
59001,Abbotsford,17,Abbotsford,MacKay,David,Marxist-Leninist,1
59001,Abbotsford,17,Abbotsford,Martel,Jen,NDP-New Democratic Party,34
59001,Abbotsford,17,Abbotsford,Njenga,Peter,Liberal,62
59001,Abbotsford,18,Abbotsford,Fast,Ed,Conservative,85
59001,Abbotsford,18,Abbotsford,Fowler,Stephen,Green Party,20
59001,Abbotsford,18,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,18,Abbotsford,Martel,Jen,NDP-New Democratic Party,39
59001,Abbotsford,18,Abbotsford,Njenga,Peter,Liberal,63
59001,Abbotsford,19,Abbotsford,Fast,Ed,Conservative,117
59001,Abbotsford,19,Abbotsford,Fowler,Stephen,Green Party,33
59001,Abbotsford,19,Abbotsford,MacKay,David,Marxist-Leninist,2
59001,Abbotsford,19,Abbotsford,Martel,Jen,NDP-New Democratic Party,39
59001,Abbotsford,19,Abbotsford,Njenga,Peter,Liberal,79
59001,Abbotsford,20,Abbotsford,Fast,Ed,Conservative,46
59001,Abbotsford,20,Abbotsford,Fowler,Stephen,Green Party,7
59001,Abbotsford,20,Abbotsford,MacKay,David,Marxist-Leninist,1
59001,Abbotsford,20,Abbotsford,Martel,Jen,NDP-New Democratic Party,25
59001,Abbotsford,20,Abbotsford,Njenga,Peter,Liberal,72
59001,Abbotsford,21,Abbotsford,Fast,Ed,Conservative,82
59001,Abbotsford,21,Abbotsford,Fowler,Stephen,Green Party,7
59001,Abbotsford,21,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,21,Abbotsford,Martel,Jen,NDP-New Democratic Party,24
59001,Abbotsford,21,Abbotsford,Njenga,Peter,Liberal,70
59001,Abbotsford,22,Abbotsford,Fast,Ed,Conservative,132
59001,Abbotsford,22,Abbotsford,Fowler,Stephen,Green Party,12
59001,Abbotsford,22,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,22,Abbotsford,Martel,Jen,NDP-New Democratic Party,23
59001,Abbotsford,22,Abbotsford,Njenga,Peter,Liberal,50
59001,Abbotsford,23,Abbotsford,Fast,Ed,Conservative,72
59001,Abbotsford,23,Abbotsford,Fowler,Stephen,Green Party,10
59001,Abbotsford,23,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,23,Abbotsford,Martel,Jen,NDP-New Democratic Party,37
59001,Abbotsford,23,Abbotsford,Njenga,Peter,Liberal,56
59001,Abbotsford,24,Abbotsford,Fast,Ed,Conservative,104
59001,Abbotsford,24,Abbotsford,Fowler,Stephen,Green Party,4
59001,Abbotsford,24,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,24,Abbotsford,Martel,Jen,NDP-New Democratic Party,7
59001,Abbotsford,24,Abbotsford,Njenga,Peter,Liberal,36
59001,Abbotsford,25,Abbotsford,Fast,Ed,Conservative,59
59001,Abbotsford,25,Abbotsford,Fowler,Stephen,Green Party,10
59001,Abbotsford,25,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,25,Abbotsford,Martel,Jen,NDP-New Democratic Party,12
59001,Abbotsford,25,Abbotsford,Njenga,Peter,Liberal,63
59001,Abbotsford,26,Abbotsford,Fast,Ed,Conservative,72
59001,Abbotsford,26,Abbotsford,Fowler,Stephen,Green Party,6
59001,Abbotsford,26,Abbotsford,MacKay,David,Marxist-Leninist,2
59001,Abbotsford,26,Abbotsford,Martel,Jen,NDP-New Democratic Party,38
59001,Abbotsford,26,Abbotsford,Njenga,Peter,Liberal,70
59001,Abbotsford,27,Abbotsford,Fast,Ed,Conservative,65
59001,Abbotsford,27,Abbotsford,Fowler,Stephen,Green Party,17
59001,Abbotsford,27,Abbotsford,MacKay,David,Marxist-Leninist,3
59001,Abbotsford,27,Abbotsford,Martel,Jen,NDP-New Democratic Party,35
59001,Abbotsford,27,Abbotsford,Njenga,Peter,Liberal,134
59001,Abbotsford,28,Abbotsford,Fast,Ed,Conservative,157
59001,Abbotsford,28,Abbotsford,Fowler,Stephen,Green Party,14
59001,Abbotsford,28,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,28,Abbotsford,Martel,Jen,NDP-New Democratic Party,29
59001,Abbotsford,28,Abbotsford,Njenga,Peter,Liberal,76
59001,Abbotsford,29,Abbotsford,Fast,Ed,Conservative,134
59001,Abbotsford,29,Abbotsford,Fowler,Stephen,Green Party,4
59001,Abbotsford,29,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,29,Abbotsford,Martel,Jen,NDP-New Democratic Party,19
59001,Abbotsford,29,Abbotsford,Njenga,Peter,Liberal,40
59001,Abbotsford,30,Abbotsford,Fast,Ed,Conservative,202
59001,Abbotsford,30,Abbotsford,Fowler,Stephen,Green Party,19
59001,Abbotsford,30,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,30,Abbotsford,Martel,Jen,NDP-New Democratic Party,34
59001,Abbotsford,30,Abbotsford,Njenga,Peter,Liberal,99
59001,Abbotsford,31,Abbotsford,Fast,Ed,Conservative,105
59001,Abbotsford,31,Abbotsford,Fowler,Stephen,Green Party,13
59001,Abbotsford,31,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,31,Abbotsford,Martel,Jen,NDP-New Democratic Party,27
59001,Abbotsford,31,Abbotsford,Njenga,Peter,Liberal,59
59001,Abbotsford, 32A,Abbotsford,Fast,Ed,Conservative,117
59001,Abbotsford, 32A,Abbotsford,Fowler,Stephen,Green Party,18
59001,Abbotsford, 32A,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford, 32A,Abbotsford,Martel,Jen,NDP-New Democratic Party,32
59001,Abbotsford, 32A,Abbotsford,Njenga,Peter,Liberal,40
59001,Abbotsford, 32B,Abbotsford,Fast,Ed,Conservative,137
59001,Abbotsford, 32B,Abbotsford,Fowler,Stephen,Green Party,9
59001,Abbotsford, 32B,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford, 32B,Abbotsford,Martel,Jen,NDP-New Democratic Party,29
59001,Abbotsford, 32B,Abbotsford,Njenga,Peter,Liberal,56
59001,Abbotsford,33,Abbotsford,Fast,Ed,Conservative,128
59001,Abbotsford,33,Abbotsford,Fowler,Stephen,Green Party,15
59001,Abbotsford,33,Abbotsford,MacKay,David,Marxist-Leninist,1
59001,Abbotsford,33,Abbotsford,Martel,Jen,NDP-New Democratic Party,25
59001,Abbotsford,33,Abbotsford,Njenga,Peter,Liberal,48
59001,Abbotsford,34,Abbotsford,Fast,Ed,Conservative,133
59001,Abbotsford,34,Abbotsford,Fowler,Stephen,Green Party,15
59001,Abbotsford,34,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,34,Abbotsford,Martel,Jen,NDP-New Democratic Party,23
59001,Abbotsford,34,Abbotsford,Njenga,Peter,Liberal,66
59001,Abbotsford,35,Abbotsford,Fast,Ed,Conservative,85
59001,Abbotsford,35,Abbotsford,Fowler,Stephen,Green Party,12
59001,Abbotsford,35,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,35,Abbotsford,Martel,Jen,NDP-New Democratic Party,41
59001,Abbotsford,35,Abbotsford,Njenga,Peter,Liberal,60
59001,Abbotsford,36,Abbotsford,Fast,Ed,Conservative,100
59001,Abbotsford,36,Abbotsford,Fowler,Stephen,Green Party,18
59001,Abbotsford,36,Abbotsford,MacKay,David,Marxist-Leninist,1
59001,Abbotsford,36,Abbotsford,Martel,Jen,NDP-New Democratic Party,41
59001,Abbotsford,36,Abbotsford,Njenga,Peter,Liberal,82
59001,Abbotsford,37,Abbotsford,Fast,Ed,Conservative,150
59001,Abbotsford,37,Abbotsford,Fowler,Stephen,Green Party,18
59001,Abbotsford,37,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,37,Abbotsford,Martel,Jen,NDP-New Democratic Party,42
59001,Abbotsford,37,Abbotsford,Njenga,Peter,Liberal,75
59001,Abbotsford,38,Abbotsford,Fast,Ed,Conservative,103
59001,Abbotsford,38,Abbotsford,Fowler,Stephen,Green Party,9
59001,Abbotsford,38,Abbotsford,MacKay,David,Marxist-Leninist,1
59001,Abbotsford,38,Abbotsford,Martel,Jen,NDP-New Democratic Party,40
59001,Abbotsford,38,Abbotsford,Njenga,Peter,Liberal,71
59001,Abbotsford,39,Abbotsford,Fast,Ed,Conservative,140
59001,Abbotsford,39,Abbotsford,Fowler,Stephen,Green Party,18
59001,Abbotsford,39,Abbotsford,MacKay,David,Marxist-Leninist,1
59001,Abbotsford,39,Abbotsford,Martel,Jen,NDP-New Democratic Party,46
59001,Abbotsford,39,Abbotsford,Njenga,Peter,Liberal,104
59001,Abbotsford,40,Abbotsford,Fast,Ed,Conservative,73
59001,Abbotsford,40,Abbotsford,Fowler,Stephen,Green Party,7
59001,Abbotsford,40,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,40,Abbotsford,Martel,Jen,NDP-New Democratic Party,36
59001,Abbotsford,40,Abbotsford,Njenga,Peter,Liberal,26
59001,Abbotsford,41,Abbotsford,Fast,Ed,Conservative,64
59001,Abbotsford,41,Abbotsford,Fowler,Stephen,Green Party,16
59001,Abbotsford,41,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,41,Abbotsford,Martel,Jen,NDP-New Democratic Party,46
59001,Abbotsford,41,Abbotsford,Njenga,Peter,Liberal,85
59001,Abbotsford,42,Abbotsford,Fast,Ed,Conservative,45
59001,Abbotsford,42,Abbotsford,Fowler,Stephen,Green Party,8
59001,Abbotsford,42,Abbotsford,MacKay,David,Marxist-Leninist,1
59001,Abbotsford,42,Abbotsford,Martel,Jen,NDP-New Democratic Party,20
59001,Abbotsford,42,Abbotsford,Njenga,Peter,Liberal,53
59001,Abbotsford,43,Abbotsford,Fast,Ed,Conservative,129
59001,Abbotsford,43,Abbotsford,Fowler,Stephen,Green Party,6
59001,Abbotsford,43,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,43,Abbotsford,Martel,Jen,NDP-New Democratic Party,37
59001,Abbotsford,43,Abbotsford,Njenga,Peter,Liberal,120
59001,Abbotsford,44,Abbotsford,Fast,Ed,Conservative,111
59001,Abbotsford,44,Abbotsford,Fowler,Stephen,Green Party,17
59001,Abbotsford,44,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,44,Abbotsford,Martel,Jen,NDP-New Democratic Party,40
59001,Abbotsford,44,Abbotsford,Njenga,Peter,Liberal,94
59001,Abbotsford,45,Abbotsford,Fast,Ed,Conservative,95
59001,Abbotsford,45,Abbotsford,Fowler,Stephen,Green Party,12
59001,Abbotsford,45,Abbotsford,MacKay,David,Marxist-Leninist,1
59001,Abbotsford,45,Abbotsford,Martel,Jen,NDP-New Democratic Party,24
59001,Abbotsford,45,Abbotsford,Njenga,Peter,Liberal,33
59001,Abbotsford,46,Abbotsford,Fast,Ed,Conservative,140
59001,Abbotsford,46,Abbotsford,Fowler,Stephen,Green Party,21
59001,Abbotsford,46,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,46,Abbotsford,Martel,Jen,NDP-New Democratic Party,45
59001,Abbotsford,46,Abbotsford,Njenga,Peter,Liberal,81
59001,Abbotsford,47,Abbotsford,Fast,Ed,Conservative,84
59001,Abbotsford,47,Abbotsford,Fowler,Stephen,Green Party,14
59001,Abbotsford,47,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,47,Abbotsford,Martel,Jen,NDP-New Democratic Party,28
59001,Abbotsford,47,Abbotsford,Njenga,Peter,Liberal,48
59001,Abbotsford,48,Abbotsford,Fast,Ed,Conservative,179
59001,Abbotsford,48,Abbotsford,Fowler,Stephen,Green Party,20
59001,Abbotsford,48,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,48,Abbotsford,Martel,Jen,NDP-New Democratic Party,33
59001,Abbotsford,48,Abbotsford,Njenga,Peter,Liberal,68
59001,Abbotsford,49,Abbotsford,Fast,Ed,Conservative,148
59001,Abbotsford,49,Abbotsford,Fowler,Stephen,Green Party,17
59001,Abbotsford,49,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,49,Abbotsford,Martel,Jen,NDP-New Democratic Party,44
59001,Abbotsford,49,Abbotsford,Njenga,Peter,Liberal,77
59001,Abbotsford,50,Abbotsford,Fast,Ed,Conservative,127
59001,Abbotsford,50,Abbotsford,Fowler,Stephen,Green Party,21
59001,Abbotsford,50,Abbotsford,MacKay,David,Marxist-Leninist,2
59001,Abbotsford,50,Abbotsford,Martel,Jen,NDP-New Democratic Party,30
59001,Abbotsford,50,Abbotsford,Njenga,Peter,Liberal,81
59001,Abbotsford,51,Abbotsford,Fast,Ed,Conservative,151
59001,Abbotsford,51,Abbotsford,Fowler,Stephen,Green Party,15
59001,Abbotsford,51,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,51,Abbotsford,Martel,Jen,NDP-New Democratic Party,31
59001,Abbotsford,51,Abbotsford,Njenga,Peter,Liberal,105
59001,Abbotsford,52,Abbotsford,Fast,Ed,Conservative,140
59001,Abbotsford,52,Abbotsford,Fowler,Stephen,Green Party,10
59001,Abbotsford,52,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,52,Abbotsford,Martel,Jen,NDP-New Democratic Party,33
59001,Abbotsford,52,Abbotsford,Njenga,Peter,Liberal,82
59001,Abbotsford,53,Abbotsford,Fast,Ed,Conservative,144
59001,Abbotsford,53,Abbotsford,Fowler,Stephen,Green Party,17
59001,Abbotsford,53,Abbotsford,MacKay,David,Marxist-Leninist,2
59001,Abbotsford,53,Abbotsford,Martel,Jen,NDP-New Democratic Party,41
59001,Abbotsford,53,Abbotsford,Njenga,Peter,Liberal,87
59001,Abbotsford,54,Abbotsford,Fast,Ed,Conservative,137
59001,Abbotsford,54,Abbotsford,Fowler,Stephen,Green Party,14
59001,Abbotsford,54,Abbotsford,MacKay,David,Marxist-Leninist,1
59001,Abbotsford,54,Abbotsford,Martel,Jen,NDP-New Democratic Party,20
59001,Abbotsford,54,Abbotsford,Njenga,Peter,Liberal,61
59001,Abbotsford,55,Abbotsford,Fast,Ed,Conservative,106
59001,Abbotsford,55,Abbotsford,Fowler,Stephen,Green Party,5
59001,Abbotsford,55,Abbotsford,MacKay,David,Marxist-Leninist,1
59001,Abbotsford,55,Abbotsford,Martel,Jen,NDP-New Democratic Party,15
59001,Abbotsford,55,Abbotsford,Njenga,Peter,Liberal,60
59001,Abbotsford,56,Abbotsford,Fast,Ed,Conservative,146
59001,Abbotsford,56,Abbotsford,Fowler,Stephen,Green Party,11
59001,Abbotsford,56,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,56,Abbotsford,Martel,Jen,NDP-New Democratic Party,34
59001,Abbotsford,56,Abbotsford,Njenga,Peter,Liberal,73
59001,Abbotsford,57,Abbotsford,Fast,Ed,Conservative,152
59001,Abbotsford,57,Abbotsford,Fowler,Stephen,Green Party,9
59001,Abbotsford,57,Abbotsford,MacKay,David,Marxist-Leninist,1
59001,Abbotsford,57,Abbotsford,Martel,Jen,NDP-New Democratic Party,31
59001,Abbotsford,57,Abbotsford,Njenga,Peter,Liberal,72
59001,Abbotsford,58,Abbotsford,Fast,Ed,Conservative,200
59001,Abbotsford,58,Abbotsford,Fowler,Stephen,Green Party,8
59001,Abbotsford,58,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,58,Abbotsford,Martel,Jen,NDP-New Democratic Party,44
59001,Abbotsford,58,Abbotsford,Njenga,Peter,Liberal,75
59001,Abbotsford,59,Abbotsford,Fast,Ed,Conservative,137
59001,Abbotsford,59,Abbotsford,Fowler,Stephen,Green Party,6
59001,Abbotsford,59,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,59,Abbotsford,Martel,Jen,NDP-New Democratic Party,39
59001,Abbotsford,59,Abbotsford,Njenga,Peter,Liberal,77
59001,Abbotsford,60,Abbotsford,Fast,Ed,Conservative,118
59001,Abbotsford,60,Abbotsford,Fowler,Stephen,Green Party,5
59001,Abbotsford,60,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,60,Abbotsford,Martel,Jen,NDP-New Democratic Party,14
59001,Abbotsford,60,Abbotsford,Njenga,Peter,Liberal,57
59001,Abbotsford,61,Abbotsford,Fast,Ed,Conservative,135
59001,Abbotsford,61,Abbotsford,Fowler,Stephen,Green Party,7
59001,Abbotsford,61,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,61,Abbotsford,Martel,Jen,NDP-New Democratic Party,40
59001,Abbotsford,61,Abbotsford,Njenga,Peter,Liberal,89
59001,Abbotsford,62,Abbotsford,Fast,Ed,Conservative,169
59001,Abbotsford,62,Abbotsford,Fowler,Stephen,Green Party,8
59001,Abbotsford,62,Abbotsford,MacKay,David,Marxist-Leninist,1
59001,Abbotsford,62,Abbotsford,Martel,Jen,NDP-New Democratic Party,22
59001,Abbotsford,62,Abbotsford,Njenga,Peter,Liberal,94
59001,Abbotsford,63,Abbotsford,Fast,Ed,Conservative,150
59001,Abbotsford,63,Abbotsford,Fowler,Stephen,Green Party,15
59001,Abbotsford,63,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,63,Abbotsford,Martel,Jen,NDP-New Democratic Party,36
59001,Abbotsford,63,Abbotsford,Njenga,Peter,Liberal,81
59001,Abbotsford,64,Abbotsford,Fast,Ed,Conservative,155
59001,Abbotsford,64,Abbotsford,Fowler,Stephen,Green Party,9
59001,Abbotsford,64,Abbotsford,MacKay,David,Marxist-Leninist,1
59001,Abbotsford,64,Abbotsford,Martel,Jen,NDP-New Democratic Party,25
59001,Abbotsford,64,Abbotsford,Njenga,Peter,Liberal,54
59001,Abbotsford,65,Abbotsford,Fast,Ed,Conservative,101
59001,Abbotsford,65,Abbotsford,Fowler,Stephen,Green Party,8
59001,Abbotsford,65,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,65,Abbotsford,Martel,Jen,NDP-New Democratic Party,19
59001,Abbotsford,65,Abbotsford,Njenga,Peter,Liberal,40
59001,Abbotsford,66,Abbotsford,Fast,Ed,Conservative,101
59001,Abbotsford,66,Abbotsford,Fowler,Stephen,Green Party,21
59001,Abbotsford,66,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,66,Abbotsford,Martel,Jen,NDP-New Democratic Party,29
59001,Abbotsford,66,Abbotsford,Njenga,Peter,Liberal,64
59001,Abbotsford,67,Abbotsford,Fast,Ed,Conservative,108
59001,Abbotsford,67,Abbotsford,Fowler,Stephen,Green Party,15
59001,Abbotsford,67,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,67,Abbotsford,Martel,Jen,NDP-New Democratic Party,39
59001,Abbotsford,67,Abbotsford,Njenga,Peter,Liberal,83
59001,Abbotsford,68,Abbotsford,Fast,Ed,Conservative,143
59001,Abbotsford,68,Abbotsford,Fowler,Stephen,Green Party,19
59001,Abbotsford,68,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,68,Abbotsford,Martel,Jen,NDP-New Democratic Party,31
59001,Abbotsford,68,Abbotsford,Njenga,Peter,Liberal,65
59001,Abbotsford,69,Abbotsford,Fast,Ed,Conservative,120
59001,Abbotsford,69,Abbotsford,Fowler,Stephen,Green Party,22
59001,Abbotsford,69,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,69,Abbotsford,Martel,Jen,NDP-New Democratic Party,36
59001,Abbotsford,69,Abbotsford,Njenga,Peter,Liberal,76
59001,Abbotsford,70,Abbotsford,Fast,Ed,Conservative,166
59001,Abbotsford,70,Abbotsford,Fowler,Stephen,Green Party,10
59001,Abbotsford,70,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,70,Abbotsford,Martel,Jen,NDP-New Democratic Party,14
59001,Abbotsford,70,Abbotsford,Njenga,Peter,Liberal,76
59001,Abbotsford,71,Abbotsford,Fast,Ed,Conservative,176
59001,Abbotsford,71,Abbotsford,Fowler,Stephen,Green Party,11
59001,Abbotsford,71,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,71,Abbotsford,Martel,Jen,NDP-New Democratic Party,19
59001,Abbotsford,71,Abbotsford,Njenga,Peter,Liberal,82
59001,Abbotsford,72,Abbotsford,Fast,Ed,Conservative,99
59001,Abbotsford,72,Abbotsford,Fowler,Stephen,Green Party,22
59001,Abbotsford,72,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,72,Abbotsford,Martel,Jen,NDP-New Democratic Party,43
59001,Abbotsford,72,Abbotsford,Njenga,Peter,Liberal,73
59001,Abbotsford,73,Abbotsford,Fast,Ed,Conservative,59
59001,Abbotsford,73,Abbotsford,Fowler,Stephen,Green Party,11
59001,Abbotsford,73,Abbotsford,MacKay,David,Marxist-Leninist,0
59001,Abbotsford,73,Abbotsford,Martel,Jen,NDP-New Democratic Party,28
59001,Abbotsford,73,Abbotsford,Njenga,Peter,Liberal,78
59001,Abbotsford,74,Abbotsford,Fast,Ed,Conservative,98
59001,Abbotsford,74,Abbotsford,Fowler,Stephen,Green Party,23
59001,Abbotsford,74,Abbotsford,MacKay,David,Marxist-Leninist,1
59001,Abbotsford,74,Abbotsford,Martel,Jen,NDP-New Democratic Party,50
59001,Abbotsford,74,Abbotsford,Njenga,Peter,Liberal,93
59001,Abbotsford,75,Abbotsford,Fast,Ed,Conservative,133
59001,Abbotsford,75,Abbotsford,Fowler,Stephen,Green Party,15
59001,Abbotsford,75,Abbotsford,MacKay,David,Marxist-Leninist,0
